year,reference_code,local_reference,objectID,title,collection,collection_canonical,currency,price,price_eur,market,url,url_full
2026,CRWGTA0296,WGTA0296,CRWGTA0296,Montre Tank Américaine,Tank,Tank,EUR,26200.0,26200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGTA0296,https://www.cartier.com/fr-fr/product/CRWGTA0296
2026,CRWGTA0297,WGTA0297,CRWGTA0297,Montre Tank Américaine,Tank,Tank,EUR,26400.0,26400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGTA0297,https://www.cartier.com/fr-fr/product/CRWGTA0297
2026,CRWHSA0009,WHSA0009,CRWHSA0009,Montre squelette Santos de Cartier,Santos de Cartier,Santos,EUR,32900.0,32900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWHSA0009,https://www.cartier.com/fr-fr/product/CRWHSA0009
2026,CRWJBA0049,WJBA0049,CRWJBA0049,Montre Baignoire,Baignoire,Other,EUR,33600.0,33600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBA0049,https://www.cartier.com/fr-fr/product/CRWJBA0049
2026,CRWHSA0027,WHSA0027,CRWHSA0027,Montre squelette Santos de Cartier,Santos de Cartier,Santos,EUR,34100.0,34100.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWHSA0027,https://www.cartier.com/fr-fr/product/CRWHSA0027
2026,CRWJPN0070,WJPN0070,CRWJPN0070,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,36500.0,36500.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0070,https://www.cartier.com/fr-fr/product/CRWJPN0070
2026,CRWJBA0046,WJBA0046,CRWJBA0046,Montre Baignoire,Baignoire,Other,EUR,43200.0,43200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBA0046,https://www.cartier.com/fr-fr/product/CRWJBA0046
2026,CRWJSA0014,WJSA0014,CRWJSA0014,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,49700.0,49700.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJSA0014,https://www.cartier.com/fr-fr/product/CRWJSA0014
2026,CRWJTA0068,WJTA0068,CRWJTA0068,Montre Tank Américaine,Tank,Tank,EUR,54000.0,54000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJTA0068,https://www.cartier.com/fr-fr/product/CRWJTA0068
2026,CRWJBA0060,WJBA0060,CRWJBA0060,Montre Baignoire,Baignoire,Other,EUR,72000.0,72000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBA0060,https://www.cartier.com/fr-fr/product/CRWJBA0060
2026,CRHPI01690,HPI01690,CRHPI01690,Montre Tressage,Tressage,Other,EUR,82000.0,82000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01690,https://www.cartier.com/fr-fr/product/CRHPI01690
2026,CRHPI01719,HPI01719,CRHPI01719,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,91000.0,91000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01719,https://www.cartier.com/fr-fr/product/CRHPI01719
2026,CRHPI01693,HPI01693,CRHPI01693,Montre Tressage,Tressage,Other,EUR,132000.0,132000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01693,https://www.cartier.com/fr-fr/product/CRHPI01693
2026,CRHPI01722,HPI01722,CRHPI01722,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,144000.0,144000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01722,https://www.cartier.com/fr-fr/product/CRHPI01722
2026,CRHPI01691,HPI01691,CRHPI01691,Montre Tressage,Tressage,Other,EUR,144000.0,144000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01691,https://www.cartier.com/fr-fr/product/CRHPI01691
2026,CRHPI01358,HPI01358,CRHPI01358,Montre Joaillière Panthère,Panthère Jewelry Watches,Panthère,EUR,161000.0,161000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01358,https://www.cartier.com/fr-fr/product/CRHPI01358
2026,CRHPI01775,HPI01775,CRHPI01775,Montre Joaillière Panthère,Panthère Jewelry Watches,Panthère,EUR,240000.0,240000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01775,https://www.cartier.com/fr-fr/product/CRHPI01775
2026,CRHPI01774,HPI01774,CRHPI01774,Montre Joaillière Panthère,Panthère Jewelry Watches,Panthère,EUR,252000.0,252000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01774,https://www.cartier.com/fr-fr/product/CRHPI01774
2026,CRHPI01776,HPI01776,CRHPI01776,Montre Joaillière Panthère,Panthère Jewelry Watches,Panthère,EUR,266000.0,266000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01776,https://www.cartier.com/fr-fr/product/CRHPI01776
