year,reference_code,collection_canonical,price,price_eur,currency,market,title,url
2026,CRWGPN0061,Panthère,30500.0,30500.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWGPN0061
2026,CRWJPN0087,Panthère,30800.0,30800.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWJPN0087
2026,CRWJPN0058,Panthère,31700.0,31700.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWJPN0058
2026,CRWJPN0091,Panthère,32200.0,32200.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWJPN0091
2026,CRWJTA0056,Tank,35300.0,35300.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWJTA0056
2026,CRWJPN0088,Panthère,35900.0,35900.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0088
2026,CRWJPN0092,Panthère,37700.0,37700.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0092
2026,CRWJPN0063,Panthère,38000.0,38000.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0063
2026,CRWGSA0018,Santos,43600.0,43600.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWGSA0018
2026,CRWHSA0030,Santos,43700.0,43700.0,EUR,fr-fr,Montre squelette Santos-Dumont équipée d’un micro-rotor,https://www.cartier.com/fr-fr/product/CRWHSA0030
2026,CRWJPN0069,Panthère,46100.0,46100.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWJPN0069
2026,CRWJPN0061,Panthère,48300.0,48300.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWJPN0061
