reference_code,title,price,currency,url,collection,objectID
,,"2,800€",EUR,,,CRB7212400
,,"4,250€",EUR,,,CRB7014200
,,"4,400€",EUR,,,CRB8022500
,,"4,800€",EUR,,,CRB8028200
,,"5,800€",EUR,,,CRB8301499
,,"9,750€",EUR,,,CRB6088917
,,"1,900€",EUR,,,CRB8301256
,,"2,260€",EUR,,,CRB6091200
,,"2,450€",EUR,,,CRB8028900
,,"2,990€",EUR,,,CRB7212500
,,"4,550€",EUR,,,CRB7014300
,,"5,150€",EUR,,,CRB8028300
,,"6,200€",EUR,,,CRB8301500
,,"10,500€",EUR,,,CRB6089717
,,,EUR,,,CRN4723700
,,"1,060€",EUR,,,CRB8301422
,,"1,780€",EUR,,,CRB8301254
,,"2,110€",EUR,,,CRB6091100
,,"2,290€",EUR,,,CRB8029000
,,"2,800€",EUR,,,CRB7212300
,,"4,250€",EUR,,,CRB7014400
,,"5,800€",EUR,,,CRB8301498
,,"9,750€",EUR,,,CRB6088117
,,,EUR,,,CRN4250100
,,"1,080€",EUR,,,CRB6016700
,,"2,020€",EUR,,,CRB8301540
,,"2,450€",EUR,,,CRB7224817
,,"2,820€",EUR,,,CRB8301462
,,"3,750€",EUR,,,CR80083231
,,"3,800€",EUR,,,CRB8301507
,,"7,350€",EUR,,,CRB8301459
,,"1,070€",EUR,,,CRB8301446
,,"2,400€",EUR,,,CRB8301502
,,"2,520€",EUR,,,CRB6038300
,,"2,890€",EUR,,,CRB7219500
,,"3,450€",EUR,,,CRB8301235
,,4600,EUR,,,CRB4056200
,,"4,750€",EUR,,,CRB6084300
,,"5,450€",EUR,,,CRB7013800
,,"5,550€",EUR,,,CRB7014500
,,"6,000€",EUR,,,CRB8301525
,,"6,200€",EUR,,,CRN8515243
,,"6,600€",EUR,,,CRB8022900
,,"7,850€",EUR,,,CRN8515241
,,"8,700€",EUR,,,CRB8301528
,,"19,200€",EUR,,,CRN7424510
,,"2,690€",EUR,,,CRB6038100
,,"3,100€",EUR,,,CRB7219400
,,"3,700€",EUR,,,CRB8301236
,,"5,100€",EUR,,,CRB6084400
,,"5,850€",EUR,,,CRB7013700
,,"5,950€",EUR,,,CRB7014600
,,"7,050€",EUR,,,CRB8022800
,,"8,400€",EUR,,,CRN8515242
,,"10,200€",EUR,,,CRB7224864
,,"1,070€",EUR,,,CRB8301491
,,"2,400€",EUR,,,CRB8301501
,,"2,520€",EUR,,,CRB6063600
,,"2,890€",EUR,,,CRB7224509
,,"3,450€",EUR,,,CRB8301234
,,"4,750€",EUR,,,CRB6084200
,,"5,200€",EUR,,,CRB8301433
,,"5,450€",EUR,,,CRB7013900
,,"5,550€",EUR,,,CRB7014700
,,"6,000€",EUR,,,CRB8301211
,,"6,600€",EUR,,,CRB8301218
,,"7,850€",EUR,,,CRN8515240
,,"8,700€",EUR,,,CRB8301527
,,"19,200€",EUR,,,CRN7424509
,,"2,570€",EUR,,,CRB8301536
,,"4,400€",EUR,,,CRB7219700
,,"9,300€",EUR,,,CRB8301529
,,"20,600€",EUR,,,CRN7424511
,,"16,000€",EUR,,,CRB8301535
,,"4,900€",EUR,,,CRB7224849
,,"5,250€",EUR,,,CRB7224806
,,"8,000€",EUR,,,CRB7224810
,,"9,200€",EUR,,,CRB8301465
,,"9,800€",EUR,,,CRB7224811
,,"14,400€",EUR,,,CRB8301513
,,"16,700€",EUR,,,CRB8031900
,,720€,EUR,,,CRB3153124
,,720€,EUR,,,CRB3153113
,,720€,EUR,,,CRB3153112
,,720€,EUR,,,CRB3153111
,,950€,EUR,,,CRB6045617
,,"1,120€",EUR,,,CRB7224517
,,"1,380€",EUR,,,CRB6043300
,,"1,410€",EUR,,,CRB8301215
,,"1,480€",EUR,,,CRB6026000
,,"1,500€",EUR,,,CRB7215800
,,"2,010€",EUR,,,CRB6062917
,,"2,160€",EUR,,,CRB8301405
,,"2,400€",EUR,,,CRB6090300
